"track_name","size_bytes","price","rating_count_tot","rating_count_ver","user_rating","user_rating_ver","cont_rating","prime_genre","sup_devices.num","ipadSc_urls.num","lang.num"
"PAC-MAN Premium",100788224,3.99,21292,26,4,4.5,"4+","Games",38,5,10
"Evernote - stay organized",158578688,0,161065,26,4,3.5,"4+","Productivity",37,5,23
"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,0,188583,2822,3.5,4.5,"4+","Weather",37,5,3
"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,0,262241,649,4,4.5,"12+","Shopping",37,5,9
"Bible",92774400,0,985920,5320,4.5,5,"4+","Reference",37,5,45
"Shanghai Mahjong",10485713,0.99,8253,5516,4,4,"4+","Games",47,5,1
"PayPal - Send and request money safely",227795968,0,119487,879,4,4.5,"4+","Finance",37,0,19
"Pandora - Music & Radio",130242560,0,1126879,3594,4,4.5,"12+","Music",37,4,1
"PCalc - The Best Calculator",49250304,9.99,1117,4,4.5,5,"4+","Utilities",37,5,1
"Ms. PAC-MAN",70023168,3.99,7885,40,4,4,"4+","Games",38,0,10
"Solitaire by MobilityWare",49618944,4.99,76720,4017,4.5,4.5,"4+","Games",38,4,11
"SCRABBLE Premium",227547136,7.99,105776,166,3.5,2.5,"4+","Games",37,0,6
"Google – Search made just for mobile",179979264,0,479440,203,3.5,4,"17+","Utilities",37,4,33
"Bank of America - Mobile Banking",160925696,0,119773,2336,3.5,4.5,"4+","Finance",37,0,2
"FreeCell",55153664,4.99,6340,668,4.5,4.5,"4+","Games",38,5,2
"TripAdvisor Hotels Flights Restaurants",207907840,0,56194,87,4,3.5,"4+","Travel",37,1,26
"Facebook",389879808,0,2974676,212,3.5,3.5,"4+","Social Networking",37,1,29
"Yelp - Nearby Restaurants, Shopping & Services",167407616,0,223885,3726,4,4.5,"12+","Travel",37,5,18
"Shazam - Discover music, artists, videos & lyrics",147093504,0,402925,136,4,4.5,"12+","Music",37,3,16
"Crash Bandicoot Nitro Kart 3D",10735026,2.99,31456,4178,4,3.5,"4+","Games",47,0,1
"iQuran",70707916,1.99,2929,966,4.5,4.5,"4+","Reference",43,0,2
":) Sudoku +",6169600,2.99,11447,781,5,5,"4+","Games",40,5,1
"Yahoo Sports - Teams, Scores, News & Highlights",130583552,0,137951,131,4,4.5,"4+","Sports",37,2,6
"Mileage Log | Fahrtenbuch",71203840,5.99,8,0,4.5,0,"4+","Business",37,5,3
"Cleartune - Chromatic Tuner",11423008,3.99,3241,297,4,4,"4+","Music",43,2,10
"Lifesum – Inspiring healthy lifestyle app",188017664,0,5795,12,3.5,4,"4+","Health & Fitness",37,5,11
"Hangman.",4765696,0,42316,248,3,3.5,"9+","Games",38,0,1
"iTranslate - Language Translator & Dictionary",287933440,0,123215,25,3.5,5,"4+","Productivity",37,5,23
"TouchOSC",4263936,4.99,782,7,4,3.5,"4+","Music",43,1,1
"RadarScope",172772352,9.99,3449,23,4,4.5,"4+","Weather",37,5,1
"LinkedIn",273844224,0,71856,62,3.5,4.5,"4+","Social Networking",37,2,23
"Period Tracker Deluxe",40216576,1.99,13350,489,4.5,5,"12+","Health & Fitness",38,0,15
"Election 2016 Map",2386944,0.99,137,0,3,0,"4+","Entertainment",37,1,1
"Blackjack by MobilityWare",105431040,0,180087,1101,3.5,4.5,"12+","Games",37,5,5
"White Noise",44129280,0.99,33426,299,4,5,"4+","Health & Fitness",37,5,3
"iHeartRadio – Free Music & Radio Stations",116443136,0,293228,110,4,3,"12+","Music",37,5,2
"Line Rider iRide™",1646592,1.99,21609,69,3.5,2.5,"9+","Entertainment",40,0,1
"Deliveries: a package tracker",30016512,4.99,4684,10,4,4,"4+","Utilities",37,4,9
"Hurricane Pro",29518848,2.99,2104,0,4.5,0,"17+","Weather",37,0,1
"Fieldrunners",66872320,2.99,41633,6,4,3,"9+","Games",37,0,1
"Juxtaposer",45229056,2.99,3610,7,4.5,5,"4+","Photo & Video",37,5,1
"Deezer - Listen to your Favorite Music & Playlists",127470592,0,4677,12,3,4,"12+","Music",37,5,21
"iStellar",44241920,3.99,30,0,3.5,0,"4+","Navigation",37,0,2
"Sonos Controller",107983872,0,48905,2691,4.5,4.5,"4+","Music",37,4,12
"Avertinoo",8044544,4.99,32,0,3,0,"4+","Navigation",38,5,7
"Google Earth",37214208,0,446185,1359,3.5,3.5,"4+","Travel",43,5,30
"iFart - The Original Fart Sounds App",60320768,1.99,21825,10,3,4,"9+","Entertainment",37,5,1
"PAC-MAN",100849664,0,508808,99,3,4.5,"4+","Games",38,5,10
"FOX Sports Mobile",72748032,0,57500,103,3,4,"4+","Sports",37,0,1
"First Words Animals",32164864,1.99,2576,4,4,5,"4+","Games",38,5,1
"WeatherPro",69079040,1.99,1572,34,4,4.5,"4+","Weather",37,0,13
"HotSchedules",82037760,2.99,3292,2,3,5,"4+","Business",37,2,2
"Star Walk - Find Stars And Planets in Sky Above",150195200,4.99,8932,55,4.5,5,"4+","Education",37,0,12
"The Weather Channel: Forecast, Radar & Alerts",199734272,0,495626,5893,3.5,4.5,"4+","Weather",37,0,33
"Big Day - Event Countdown",13156352,0.99,812,14,3,4,"4+","Lifestyle",38,0,7
"12 Steps AA Companion - Alcoholics Anonymous",30367744,2.99,1583,2,3.5,4.5,"12+","Lifestyle",37,5,1
"OpenTable - Restaurant Reservations",93420544,0,113936,150,4.5,5,"4+","Food & Drink",37,1,6
"VLC Remote",31505408,4.99,2027,2,4,5,"4+","Entertainment",37,5,33
"gFlashPro - Flashcards & Tests",25997312,3.99,768,4,4,4,"4+","Education",37,3,3
"Lose It! – Weight Loss Program and Calorie Counter",182054912,0,373835,402,4,4.5,"4+","Health & Fitness",37,3,1
"Target",138754048,0,108131,13,3,2,"4+","Shopping",37,0,1
"Fish Tycoon",13564835,0.99,18943,1787,3.5,4.5,"4+","Games",47,0,1
"Amazon App: shop, scan, compare, and read reviews",133688320,0,126312,22,3.5,3,"4+","Shopping",37,5,8
"Touchgrind",55205888,4.99,35735,378,4,4.5,"4+","Games",40,0,0
"ProPresenter Remote",46922752,4.99,410,7,3,2.5,"4+","Utilities",37,5,1
"iReal Pro - Music Book & Play Along",63283200,12.99,1390,143,4.5,5,"4+","Music",37,5,33
"NRJ Radio",53426176,0,38,2,3.5,5,"4+","Music",37,5,4
"Chase Mobile℠",39505920,0,233270,14625,4.5,4.5,"4+","Finance",37,0,2
"大辞林",210088960,21.99,64,0,4.5,0,"4+","Reference",37,5,2
"Allrecipes Dinner Spinner",36399104,0,109349,1540,3.5,5,"12+","Food & Drink",37,5,1
"新浪新闻-阅读最新时事热门头条资讯视频",115143680,0,2229,4,3.5,1,"17+","News",37,0,1
"MotionX GPS",56481792,1.99,14970,24,3.5,4.5,"4+","Navigation",37,0,1
"AccuWeather - Weather for Life",181941248,0,144214,2162,3.5,4,"4+","Weather",37,1,43
"Mint: Personal Finance, Budget, Bills & Money",162891776,0,232940,683,4,4.5,"4+","Finance",37,5,1
"ABC News - US & World News + Live Video",98108416,0,48407,20,3,3.5,"12+","News",37,0,1
"Rowmote: Remote Control for Mac",54088704,0.99,5531,37,3.5,2.5,"4+","Utilities",40,3,13
"Peekaboo Barn",50155520,1.99,3393,77,4,4,"4+","Education",43,5,1
"Speedtest by Ookla",23936000,0,65016,274,3.5,5,"4+","Utilities",38,4,17
"Pocket God",145293312,0.99,187529,1071,4,4,"9+","Entertainment",43,5,1
"Nike+ Training Club - Workouts & Fitness Plans",140367872,0,33969,466,3.5,5,"4+","Health & Fitness",37,0,17
"Citi Mobile®",281244672,0,48822,193,3.5,4,"4+","Finance",37,0,1
"Phase 10 Pro - Play Your Friends!",66695168,1.99,59155,101,4.5,2.5,"4+","Games",40,5,1
"Kindle – Read eBooks, Magazines & Textbooks",169747456,0,252076,80,3.5,4.5,"4+","Book",37,5,9
"MASH",41691136,1.99,4913,1,4,4,"9+","Games",37,3,15
"同花顺-炒股、股票",122886144,0,1744,0,3.5,0,"4+","Finance",37,0,1
"Wedding Dash Deluxe",55803904,0.99,16567,1155,4.5,4.5,"4+","Games",43,4,1
"Beer Pong Game",188956672,0,187315,9,2,4,"17+","Games",37,5,9
"Tempo - Metronome with Setlists",22185984,2.99,4781,1,4.5,5,"4+","Music",37,5,10
"Skat",66160640,3.99,94,4,4.5,4.5,"4+","Games",37,0,1
"Color Splash",28135424,0.99,29554,55,4,5,"4+","Photo & Video",37,0,3
"Zombieville USA",27962441,0.99,32988,2489,4,4,"12+","Games",47,5,1
"Skype for iPhone",133238784,0,373519,127,3.5,4,"4+","Social Networking",37,0,32
"Tumblr",151573504,0,334293,919,4,4,"17+","Social Networking",37,5,16
"iSwap Faces",27069440,1.99,2302,3,3.5,5,"4+","Photo & Video",37,5,1
"Match™ - #1 Dating App.",101259264,0,60659,57,3,2.5,"17+","Social Networking",37,5,10
"Tozzle - Toddler's favorite puzzle",168192000,2.99,2562,10,4,4.5,"4+","Games",37,5,4
"HomeBudget with Sync",17485824,4.99,3042,6,3.5,4,"4+","Finance",37,5,11
"Wind Meter",5234688,0.99,338,12,2.5,2,"4+","Weather",43,0,1
"Map My Run+ - GPS Running & Workout Tracker",237913088,2.99,16434,3,4.5,4.5,"4+","Health & Fitness",37,0,9
"Map My Ride+ - GPS Cycling & Route Tracker",233513984,2.99,10046,7,4.5,5,"4+","Health & Fitness",37,0,9
