"price","rating_count_tot","user_rating","cont_rating","prime_genre"
3.99,21292,4,"4+","Games"
0,161065,4,"4+","Productivity"
0,188583,3.5,"4+","Weather"
0,262241,4,"12+","Shopping"
0,985920,4.5,"4+","Reference"
0.99,8253,4,"4+","Games"
0,119487,4,"4+","Finance"
0,1126879,4,"12+","Music"
9.99,1117,4.5,"4+","Utilities"
3.99,7885,4,"4+","Games"
4.99,76720,4.5,"4+","Games"
7.99,105776,3.5,"4+","Games"
0,479440,3.5,"17+","Utilities"
0,119773,3.5,"4+","Finance"
4.99,6340,4.5,"4+","Games"
0,56194,4,"4+","Travel"
0,2974676,3.5,"4+","Social Networking"
0,223885,4,"12+","Travel"
0,402925,4,"12+","Music"
2.99,31456,4,"4+","Games"
1.99,2929,4.5,"4+","Reference"
2.99,11447,5,"4+","Games"
0,137951,4,"4+","Sports"
5.99,8,4.5,"4+","Business"
3.99,3241,4,"4+","Music"
0,5795,3.5,"4+","Health & Fitness"
0,42316,3,"9+","Games"
0,123215,3.5,"4+","Productivity"
4.99,782,4,"4+","Music"
9.99,3449,4,"4+","Weather"
0,71856,3.5,"4+","Social Networking"
1.99,13350,4.5,"12+","Health & Fitness"
0.99,137,3,"4+","Entertainment"
0,180087,3.5,"12+","Games"
0.99,33426,4,"4+","Health & Fitness"
0,293228,4,"12+","Music"
1.99,21609,3.5,"9+","Entertainment"
4.99,4684,4,"4+","Utilities"
2.99,2104,4.5,"17+","Weather"
2.99,41633,4,"9+","Games"
2.99,3610,4.5,"4+","Photo & Video"
0,4677,3,"12+","Music"
3.99,30,3.5,"4+","Navigation"
0,48905,4.5,"4+","Music"
4.99,32,3,"4+","Navigation"
0,446185,3.5,"4+","Travel"
1.99,21825,3,"9+","Entertainment"
0,508808,3,"4+","Games"
0,57500,3,"4+","Sports"
1.99,2576,4,"4+","Games"
1.99,1572,4,"4+","Weather"
2.99,3292,3,"4+","Business"
4.99,8932,4.5,"4+","Education"
0,495626,3.5,"4+","Weather"
0.99,812,3,"4+","Lifestyle"
2.99,1583,3.5,"12+","Lifestyle"
0,113936,4.5,"4+","Food & Drink"
4.99,2027,4,"4+","Entertainment"
3.99,768,4,"4+","Education"
0,373835,4,"4+","Health & Fitness"
0,108131,3,"4+","Shopping"
0.99,18943,3.5,"4+","Games"
0,126312,3.5,"4+","Shopping"
4.99,35735,4,"4+","Games"
4.99,410,3,"4+","Utilities"
12.99,1390,4.5,"4+","Music"
0,38,3.5,"4+","Music"
0,233270,4.5,"4+","Finance"
21.99,64,4.5,"4+","Reference"
0,109349,3.5,"12+","Food & Drink"
0,2229,3.5,"17+","News"
1.99,14970,3.5,"4+","Navigation"
0,144214,3.5,"4+","Weather"
0,232940,4,"4+","Finance"
0,48407,3,"12+","News"
0.99,5531,3.5,"4+","Utilities"
1.99,3393,4,"4+","Education"
0,65016,3.5,"4+","Utilities"
0.99,187529,4,"9+","Entertainment"
0,33969,3.5,"4+","Health & Fitness"
0,48822,3.5,"4+","Finance"
1.99,59155,4.5,"4+","Games"
0,252076,3.5,"4+","Book"
1.99,4913,4,"9+","Games"
0,1744,3.5,"4+","Finance"
0.99,16567,4.5,"4+","Games"
0,187315,2,"17+","Games"
2.99,4781,4.5,"4+","Music"
3.99,94,4.5,"4+","Games"
0.99,29554,4,"4+","Photo & Video"
0.99,32988,4,"12+","Games"
0,373519,3.5,"4+","Social Networking"
0,334293,4,"17+","Social Networking"
1.99,2302,3.5,"4+","Photo & Video"
0,60659,3,"17+","Social Networking"
2.99,2562,4,"4+","Games"
4.99,3042,3.5,"4+","Finance"
0.99,338,2.5,"4+","Weather"
2.99,16434,4.5,"4+","Health & Fitness"
2.99,10046,4.5,"4+","Health & Fitness"
0,29107,3,"12+","News"
1.99,878,4,"17+","Games"
0.99,1140,3.5,"4+","Games"
2.99,35074,4.5,"4+","Games"
0,59639,3,"17+","Sports"
4.99,2913,4,"4+","Health & Fitness"
0,39722,3,"4+","Photo & Video"
0,81006,3.5,"4+","Entertainment"
0,53465,3.5,"4+","Games"
0.99,395261,4.5,"4+","Games"
1.99,2021,4.5,"4+","Utilities"
0,182,3,"17+","Entertainment"
0,291787,4,"4+","Entertainment"
1.99,2441,4,"17+","Utilities"
0.99,1372,4,"12+","Games"
249.99,773,4,"4+","Education"
0,200047,4,"4+","Reference"
0,112,3.5,"12+","News"
0,148160,4.5,"4+","Sports"
0,108507,3,"4+","Utilities"
0,46,3,"4+","Entertainment"
0,51427,4,"4+","Photo & Video"
0.99,53821,3.5,"12+","Games"
0,38681,4,"4+","Business"
0.99,17776,4,"4+","Games"
0,287589,4.5,"4+","Social Networking"
2.99,7308,4,"4+","Productivity"
0,342969,4.5,"4+","Lifestyle"
4.99,6093,4,"4+","Games"
4.99,5452,4.5,"9+","Games"
0,43064,3,"4+","Finance"
0,64,4.5,"4+","Music"
0,220,4.5,"4+","Productivity"
0,114096,4.5,"4+","Games"
9.99,1296,4,"4+","Productivity"
2.99,1293,4,"4+","Travel"
0,19946,4,"4+","Finance"
0,88613,4,"4+","Entertainment"
0.99,107727,3.5,"4+","Games"
0.99,21416,4.5,"4+","Games"
2.99,533,4,"4+","Games"
2.99,32650,3.5,"12+","Music"
0,164963,3.5,"4+","Social Networking"
1.99,141,3,"4+","Weather"
0,80424,4,"4+","Shopping"
0.99,17190,4,"4+","Games"
0.99,7973,4,"4+","Games"
2.99,19621,4,"4+","Games"
3.99,7315,4,"4+","Games"
0,118,3,"12+","News"
0,290996,3.5,"4+","Sports"
3.99,2785,4,"4+","Travel"
6.99,54408,3.5,"12+","Games"
9.99,8138,4,"4+","Games"
0,123190,3,"4+","Education"
0.99,23810,3.5,"12+","Games"
0,54192,4,"4+","Sports"
0,20953,4,"4+","Sports"
9.99,71609,4.5,"12+","Music"
0,32881,3.5,"12+","News"
0,23201,2.5,"17+","Social Networking"
0,17906,3,"4+","Shopping"
74.99,927,3.5,"4+","Navigation"
1.99,18920,3.5,"9+","Games"
0.99,30,3,"4+","Finance"
0,77,3,"4+","Finance"
0,104539,4.5,"4+","Health & Fitness"
0.99,4016,4,"12+","Photo & Video"
1.99,299,4,"4+","Food & Drink"
1.99,5758,4,"12+","Games"
0,5565,4.5,"9+","Games"
0.99,213092,3.5,"9+","Games"
0,150158,4.5,"4+","Weather"
4.99,6046,4,"12+","Games"
0,345046,4.5,"4+","Navigation"
0.99,35930,3.5,"12+","Games"
0.99,22557,4,"4+","Games"
0.99,292,3,"17+","Sports"
0,878563,4.5,"12+","Music"
0,22,3.5,"4+","Food & Drink"
0,10472,3.5,"17+","Sports"
0,115,4,"17+","News"
1.99,13915,4.5,"4+","Weather"
1.99,6780,4,"9+","Games"
7.99,1701,4,"4+","Productivity"
1.99,6,3.5,"4+","Health & Fitness"
0,19,3,"4+","Utilities"
4.99,3483,4.5,"4+","Medical"
0,2838,3,"4+","Photo & Video"
0,117889,3,"4+","Entertainment"
0.99,50710,3.5,"9+","Games"
2.99,3960,4.5,"4+","Weather"
0,24258,3,"4+","Entertainment"
0,37522,4,"4+","Sports"
0,49578,3.5,"4+","Productivity"
0.99,626,4,"4+","Entertainment"
1.99,9286,4,"4+","Games"
0,190670,3.5,"17+","Sports"
19.99,2429,4.5,"4+","Navigation"
3.99,0,0,"4+","Finance"
0,12811,3.5,"4+","Navigation"
1.99,32338,4,"4+","Photo & Video"
4.99,262,4,"12+","Games"
0.99,9657,4.5,"4+","Games"
2.99,18332,4.5,"4+","Games"
0,53620,4,"12+","Health & Fitness"
0.99,38533,2.5,"4+","Photo & Video"
0.99,40,3.5,"4+","Food & Drink"
1.99,472,4,"4+","Games"
0,303856,4.5,"4+","Food & Drink"
0,2070,2.5,"4+","Sports"
2.99,7941,4,"4+","Games"
0,136833,3.5,"12+","Health & Fitness"
0,112886,3.5,"12+","News"
0,26353,3.5,"4+","Shopping"
0,171055,3,"12+","Entertainment"
2.99,4540,4,"9+","Games"
0,1926,3,"4+","Lifestyle"
3.99,14345,4,"12+","News"
4.99,1340,4.5,"4+","Lifestyle"
3.99,31912,4.5,"4+","Business"
0,354058,3.5,"17+","News"
0,248,4,"4+","Travel"
0,11691,3.5,"12+","News"
1.99,381,3,"12+","Entertainment"
0,18884,4,"9+","Entertainment"
2.99,7410,4,"9+","Reference"
1.99,15175,4,"4+","Games"
0.99,3166,4,"4+","Business"
0,88885,4.5,"12+","Shopping"
9.99,882,5,"12+","Games"
3.99,1729,4,"17+","Lifestyle"
0,43682,3.5,"4+","Sports"
0.99,861,2,"4+","Entertainment"
0,7469,3.5,"12+","Health & Fitness"
0,4186,3.5,"4+","Shopping"
0,4885,3.5,"12+","Entertainment"
4.99,3970,4,"17+","Games"
0,135744,4,"4+","Music"
0,18841,4,"4+","Social Networking"
3.99,1438,4,"4+","Navigation"
0,10298,4.5,"4+","Health & Fitness"
0.99,1842,3.5,"4+","Productivity"
1.99,2548,4,"4+","Education"
0.99,319,3,"12+","Games"
0,34507,3.5,"12+","Shopping"
0.99,26482,3.5,"4+","Games"
0,273,3,"12+","News"
2.99,8331,4,"12+","Music"
0.99,17023,4,"4+","Games"
4.99,1101,4,"4+","Games"
0.99,1193,4,"17+","Games"
0,35,2.5,"17+","Sports"
1.99,4088,4,"4+","Games"
4.99,63943,4,"17+","Games"
0,70286,3,"4+","Shopping"
0,1150,2.5,"4+","Business"
0,54630,2.5,"4+","Shopping"
0,98777,3,"4+","Entertainment"
0.99,649,4,"4+","Photo & Video"
0,60236,3,"12+","Entertainment"
0,115,3.5,"4+","Food & Drink"
0.99,26732,4,"17+","Games"
1.99,2722,4.5,"4+","Shopping"
0,11013,3.5,"4+","Shopping"
0,507706,4.5,"4+","Health & Fitness"
0,397,4.5,"4+","Travel"
9.99,196,4,"4+","Productivity"
3.99,24553,4,"9+","News"
2.99,12557,3.5,"4+","Photo & Video"
0,26227,4,"9+","Music"
4.99,28388,5,"4+","Business"
2.99,282,4,"4+","Health & Fitness"
0.99,19296,4,"4+","Games"
0,183425,4.5,"12+","Entertainment"
0,824451,4.5,"4+","Games"
0,512,3.5,"4+","Travel"
2.99,315,3.5,"4+","Lifestyle"
0,268,3.5,"4+","Travel"
1.99,438,4.5,"4+","Games"
0,187,3.5,"4+","Navigation"
4.99,15142,4,"17+","Games"
0,30552,3,"4+","Travel"
2.99,9744,3.5,"12+","Games"
0,13482,4.5,"4+","Education"
0,17516,3.5,"4+","Finance"
0,186653,3.5,"4+","Games"
0.99,10031,4,"4+","Entertainment"
0,81,3,"4+","Entertainment"
0.99,9854,4,"4+","Games"
2.99,1093,4,"9+","Travel"
2.99,4475,4.5,"4+","Health & Fitness"
2.99,9405,4,"4+","Games"
1.99,2417,4.5,"4+","Health & Fitness"
0.99,2923,4.5,"4+","Business"
2.99,8657,3.5,"9+","Entertainment"
0.99,70,2,"4+","Photo & Video"
0,162,4,"17+","News"
0.99,5,4,"4+","Lifestyle"
0.99,12354,4,"12+","Games"
0,269,3,"12+","Social Networking"
3.99,0,0,"9+","Book"
0.99,426463,5,"9+","Games"
0,7265,3.5,"17+","Social Networking"
0,844,4,"17+","Lifestyle"
0,101,4,"12+","Entertainment"
0,34428,4.5,"17+","Social Networking"
1.99,36946,4.5,"4+","Games"
0,21090,4.5,"4+","Finance"
2.99,653,4.5,"12+","Games"
3.99,1118,4.5,"4+","Education"
1.99,348,4,"4+","Productivity"
1.99,207,3.5,"9+","Utilities"
0,5000,4.5,"12+","Health & Fitness"
3.99,15188,4.5,"12+","Health & Fitness"
0,18572,4.5,"12+","News"
4.99,6403,4.5,"4+","Games"
0,417779,4.5,"12+","Shopping"
4.99,9,5,"12+","Education"
0.99,107,2.5,"4+","Entertainment"
1.99,72,2,"4+","Lifestyle"
2.99,2044,3.5,"9+","Games"
0,16683,3.5,"4+","Sports"
0.99,1455,3,"12+","Games"
4.99,15056,4,"17+","Games"
0.99,249,4.5,"4+","Photo & Video"
7.99,6091,4,"9+","Games"
7.99,2754,4,"9+","Games"
4.99,9870,4.5,"12+","Games"
0,82602,4,"9+","Music"
7.99,0,0,"4+","Travel"
1.99,762,4,"4+","Education"
1.99,160,4,"4+","Education"
0,9,3,"17+","Shopping"
0,260965,4,"12+","Social Networking"
1.99,2305,4,"4+","Photo & Video"
4.99,137,4,"4+","Travel"
0,11999,4,"4+","Entertainment"
1.99,1995,4.5,"12+","Photo & Video"
2.99,35045,4.5,"4+","Music"
0.99,343,4,"4+","Entertainment"
1.99,1824,4,"4+","Entertainment"
0,39642,4,"4+","Sports"
0,679055,4.5,"4+","Games"
9.99,17594,4,"4+","Productivity"
1.99,3531,4,"4+","Games"
3.99,1080,3.5,"4+","Education"
0,11421,4,"4+","Finance"
1.99,698516,4.5,"4+","Games"
3.99,4497,4,"12+","Entertainment"
0.99,163598,5,"9+","Games"
9.99,39678,3.5,"4+","Games"
8.99,1809,4.5,"4+","Productivity"
4.99,624,3.5,"4+","Navigation"
2.99,3761,4.5,"4+","Photo & Video"
3.99,353,4,"12+","Weather"
4.99,6503,4.5,"4+","Education"
0.99,71,3,"4+","Games"
