"size_bytes","price","rating_count_tot","rating_count_ver","user_rating","user_rating_ver","cont_rating","prime_genre","sup_devices.num","ipadSc_urls.num","lang.num"
100788224,3.99,21292,26,4,4.5,"4+","Games",38,5,10
158578688,0,161065,26,4,3.5,"4+","Productivity",37,5,23
100524032,0,188583,2822,3.5,4.5,"4+","Weather",37,5,3
128512000,0,262241,649,4,4.5,"12+","Shopping",37,5,9
92774400,0,985920,5320,4.5,5,"4+","Reference",37,5,45
10485713,0.99,8253,5516,4,4,"4+","Games",47,5,1
227795968,0,119487,879,4,4.5,"4+","Finance",37,0,19
130242560,0,1126879,3594,4,4.5,"12+","Music",37,4,1
49250304,9.99,1117,4,4.5,5,"4+","Utilities",37,5,1
70023168,3.99,7885,40,4,4,"4+","Games",38,0,10
49618944,4.99,76720,4017,4.5,4.5,"4+","Games",38,4,11
227547136,7.99,105776,166,3.5,2.5,"4+","Games",37,0,6
179979264,0,479440,203,3.5,4,"17+","Utilities",37,4,33
160925696,0,119773,2336,3.5,4.5,"4+","Finance",37,0,2
55153664,4.99,6340,668,4.5,4.5,"4+","Games",38,5,2
207907840,0,56194,87,4,3.5,"4+","Travel",37,1,26
389879808,0,2974676,212,3.5,3.5,"4+","Social Networking",37,1,29
167407616,0,223885,3726,4,4.5,"12+","Travel",37,5,18
147093504,0,402925,136,4,4.5,"12+","Music",37,3,16
10735026,2.99,31456,4178,4,3.5,"4+","Games",47,0,1
70707916,1.99,2929,966,4.5,4.5,"4+","Reference",43,0,2
6169600,2.99,11447,781,5,5,"4+","Games",40,5,1
130583552,0,137951,131,4,4.5,"4+","Sports",37,2,6
71203840,5.99,8,0,4.5,0,"4+","Business",37,5,3
11423008,3.99,3241,297,4,4,"4+","Music",43,2,10
188017664,0,5795,12,3.5,4,"4+","Health & Fitness",37,5,11
4765696,0,42316,248,3,3.5,"9+","Games",38,0,1
287933440,0,123215,25,3.5,5,"4+","Productivity",37,5,23
4263936,4.99,782,7,4,3.5,"4+","Music",43,1,1
172772352,9.99,3449,23,4,4.5,"4+","Weather",37,5,1
